EmployeeID,Age,Attrition,Department,DistanceFromHome,EducationField,Gender,MonthlyIncome,MaritalStatus,JobRole,OverTime,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,YearsAtCompany,BusinessTravel,WorkLifeBalance
73,29,No,Sales,26,Human Resources,Female,8873,Divorced,Sales Representative,No,3,2,2,8,Non-Travel,2
74,31,Yes,Sales,22,Technical Degree,Female,4798,Married,Manager,Yes,3,3,4,1,Travel_Frequently,3
75,33,No,Sales,15,Other,Female,10237,Married,Sales Executive,No,4,4,2,10,Non-Travel,4
76,31,No,Sales,13,Life Sciences,Female,9248,Divorced,Sales Executive,No,4,4,1,10,Non-Travel,1
77,51,No,Sales,20,Other,Male,7689,Single,Sales Representative,No,4,2,2,20,Travel_Frequently,1
78,48,No,Sales,11,Life Sciences,Male,8061,Married,Sales Executive,No,4,2,2,19,Travel_Frequently,2
79,33,Yes,Sales,26,Other,Female,4174,Married,Sales Representative,Yes,3,2,4,1,Travel_Frequently,1
80,28,Yes,Sales,4,Marketing,Male,4966,Divorced,Manager,No,4,2,3,4,Travel_Frequently,3
81,54,No,Sales,21,Human Resources,Female,9086,Single,Manager,Yes,3,2,4,16,Travel_Rarely,3
82,31,No,Sales,5,Medical,Male,3742,Divorced,Sales Executive,No,4,3,4,16,Travel_Rarely,3
83,51,No,Sales,14,Technical Degree,Male,11850,Divorced,Manager,No,4,4,1,5,Travel_Frequently,3
84,42,No,Sales,9,Life Sciences,Female,8942,Married,Sales Executive,Yes,3,4,1,12,Non-Travel,4
85,28,Yes,Sales,3,Human Resources,Male,4619,Single,Manager,No,3,1,2,0,Travel_Rarely,2
86,32,No,Sales,22,Medical,Female,3046,Single,Manager,No,3,2,2,5,Non-Travel,1
87,53,No,Sales,17,Other,Male,12647,Married,Sales Executive,No,3,2,1,9,Travel_Rarely,4
88,39,No,Sales,17,Other,Male,12726,Divorced,Manager,Yes,4,4,4,8,Non-Travel,1
89,32,Yes,Sales,5,Marketing,Male,3746,Divorced,Sales Representative,No,3,2,2,3,Travel_Frequently,3
90,46,No,Sales,14,Human Resources,Female,14667,Divorced,Manager,No,3,4,1,17,Travel_Frequently,2
91,35,No,Sales,11,Marketing,Male,8553,Married,Sales Representative,No,4,3,3,14,Non-Travel,2
92,43,No,Sales,2,Medical,Female,4494,Divorced,Sales Executive,No,4,2,1,14,Travel_Rarely,4
93,49,No,Sales,17,Life Sciences,Female,14813,Divorced,Sales Representative,Yes,3,3,2,20,Travel_Frequently,4
94,31,No,Sales,20,Human Resources,Female,12113,Divorced,Sales Representative,No,3,3,3,19,Travel_Rarely,1
95,29,Yes,Sales,1,Other,Male,3437,Divorced,Sales Representative,Yes,3,1,2,4,Travel_Rarely,4
96,38,No,Sales,6,Life Sciences,Male,9062,Single,Sales Executive,No,3,3,1,19,Non-Travel,3
97,41,No,Sales,4,Marketing,Male,12946,Married,Sales Representative,No,4,3,4,7,Non-Travel,3
98,31,Yes,Sales,1,Marketing,Female,2224,Single,Manager,Yes,4,2,4,1,Travel_Frequently,2
99,33,Yes,Sales,15,Technical Degree,Male,2942,Single,Manager,Yes,3,3,3,2,Travel_Frequently,4
100,50,No,Sales,27,Human Resources,Male,9843,Married,Manager,No,4,3,1,1,Travel_Frequently,4
101,35,No,Sales,25,Medical,Female,12648,Married,Sales Representative,No,3,2,1,13,Travel_Frequently,1
102,34,No,Sales,7,Medical,Male,8752,Married,Sales Representative,No,3,4,2,5,Travel_Rarely,1
103,35,Yes,Sales,5,Other,Female,3900,Married,Sales Representative,No,4,3,1,3,Non-Travel,4
104,37,No,Sales,2,Technical Degree,Female,12689,Single,Sales Representative,Yes,4,4,3,3,Travel_Frequently,1
105,55,No,Sales,21,Technical Degree,Male,13076,Divorced,Sales Executive,No,3,3,3,15,Non-Travel,4
106,29,No,Sales,23,Life Sciences,Male,4695,Single,Sales Representative,No,4,3,4,3,Non-Travel,2
107,37,No,Sales,4,Life Sciences,Female,9697,Married,Sales Representative,No,4,4,3,20,Travel_Rarely,3
108,49,No,Sales,22,Other,Female,5463,Divorced,Manager,No,4,4,2,5,Travel_Frequently,1
109,40,No,Sales,1,Human Resources,Female,8381,Married,Manager,No,4,4,3,17,Travel_Rarely,2
110,38,No,Sales,25,Life Sciences,Female,6145,Divorced,Sales Representative,Yes,3,2,3,5,Travel_Rarely,2
111,32,No,Sales,12,Life Sciences,Female,5962,Married,Sales Executive,No,3,4,4,6,Non-Travel,3
112,53,No,Sales,15,Other,Female,6833,Divorced,Sales Representative,No,4,3,3,16,Travel_Rarely,4
113,41,No,Sales,4,Marketing,Female,6271,Divorced,Sales Executive,No,3,2,3,9,Travel_Rarely,1
114,36,No,Sales,14,Marketing,Female,11410,Single,Sales Representative,Yes,3,3,4,3,Travel_Rarely,3
115,30,No,Sales,27,Life Sciences,Male,6678,Married,Sales Representative,Yes,4,2,2,11,Travel_Rarely,4
116,28,No,Sales,8,Life Sciences,Female,3311,Married,Sales Executive,No,4,2,1,18,Non-Travel,1
117,48,No,Sales,19,Other,Male,10489,Divorced,Manager,Yes,3,3,2,20,Non-Travel,3
118,47,No,Sales,18,Life Sciences,Female,6941,Divorced,Sales Representative,No,3,2,4,3,Non-Travel,4
119,31,Yes,Sales,25,Human Resources,Male,3038,Divorced,Sales Representative,No,4,2,2,0,Non-Travel,1
120,38,No,Sales,26,Other,Female,5868,Single,Manager,No,3,4,1,15,Non-Travel,4
121,28,Yes,Sales,25,Marketing,Female,2817,Single,Sales Executive,No,3,2,3,2,Non-Travel,3
122,29,No,Sales,6,Technical Degree,Female,8438,Married,Manager,No,4,3,4,14,Travel_Frequently,3
123,44,No,Sales,11,Human Resources,Male,4353,Married,Sales Representative,No,3,2,1,14,Non-Travel,3
124,37,No,Sales,28,Life Sciences,Female,12873,Divorced,Sales Representative,No,4,2,4,15,Travel_Frequently,3
125,53,No,Sales,28,Life Sciences,Male,4229,Single,Sales Executive,No,4,3,1,12,Non-Travel,2
126,35,Yes,Sales,15,Marketing,Female,3483,Married,Sales Representative,Yes,3,3,2,0,Non-Travel,3
127,48,No,Sales,9,Human Resources,Female,7089,Single,Sales Representative,No,4,2,4,6,Travel_Frequently,2
128,37,No,Sales,3,Other,Male,11047,Married,Manager,Yes,4,2,3,3,Travel_Frequently,1
129,37,No,Sales,26,Life Sciences,Male,5580,Single,Sales Representative,No,3,4,2,6,Travel_Frequently,4
130,33,Yes,Sales,23,Marketing,Male,3511,Married,Manager,Yes,4,3,4,1,Travel_Rarely,4
131,30,No,Sales,21,Medical,Female,8194,Divorced,Sales Executive,No,3,3,2,15,Non-Travel,4
132,55,No,Sales,12,Other,Female,5034,Single,Sales Executive,No,4,3,1,6,Travel_Rarely,3
133,33,Yes,Sales,5,Human Resources,Male,2512,Divorced,Sales Representative,No,3,3,3,4,Travel_Frequently,1
134,28,No,Sales,20,Human Resources,Male,3744,Married,Sales Executive,No,3,4,4,9,Non-Travel,3
135,37,No,Sales,2,Life Sciences,Female,7012,Divorced,Sales Representative,No,3,4,4,13,Travel_Frequently,4
136,34,No,Sales,25,Technical Degree,Female,12939,Single,Sales Representative,Yes,4,4,1,11,Non-Travel,3
137,31,No,Sales,8,Human Resources,Female,10366,Married,Sales Representative,No,3,2,3,2,Travel_Frequently,3
138,27,Yes,Sales,8,Human Resources,Female,4108,Married,Sales Representative,Yes,3,2,3,3,Travel_Frequently,1
139,32,Yes,Sales,29,Technical Degree,Male,4679,Single,Manager,No,4,2,3,4,Travel_Frequently,4
140,40,No,Sales,15,Technical Degree,Male,12343,Divorced,Sales Executive,No,4,3,1,18,Travel_Frequently,2
141,40,No,Sales,2,Human Resources,Female,8555,Single,Sales Representative,No,3,3,2,5,Travel_Rarely,3
142,44,No,Sales,20,Medical,Female,5440,Married,Sales Representative,No,4,4,3,5,Travel_Frequently,4
143,37,No,Sales,21,Other,Female,3272,Divorced,Sales Representative,No,3,4,4,4,Travel_Frequently,3
144,53,No,Sales,24,Human Resources,Male,12463,Divorced,Manager,Yes,4,2,2,19,Travel_Frequently,2
145,26,Yes,Sales,16,Human Resources,Female,2077,Divorced,Sales Executive,Yes,3,2,2,1,Travel_Rarely,2
146,49,No,Sales,22,Human Resources,Female,11609,Married,Sales Representative,No,4,2,4,15,Non-Travel,2
147,36,No,Sales,16,Other,Male,7890,Divorced,Manager,Yes,4,3,4,10,Non-Travel,3
148,53,No,Sales,10,Marketing,Female,7480,Single,Manager,No,3,4,3,18,Travel_Frequently,1
149,42,No,Sales,9,Human Resources,Female,7201,Divorced,Manager,No,3,2,1,7,Non-Travel,2
150,49,No,Sales,4,Other,Female,6697,Married,Manager,No,3,2,1,4,Travel_Frequently,2
151,43,No,Sales,19,Life Sciences,Male,13658,Divorced,Sales Representative,Yes,3,3,1,11,Travel_Frequently,2
152,54,No,Sales,10,Life Sciences,Female,3595,Single,Sales Executive,No,3,3,3,16,Travel_Rarely,3
153,48,No,Sales,11,Medical,Female,11590,Single,Manager,No,3,2,4,17,Travel_Frequently,3
154,28,No,Sales,11,Technical Degree,Female,8523,Divorced,Manager,No,3,4,4,7,Travel_Rarely,1
155,27,Yes,Sales,19,Marketing,Female,3325,Married,Sales Representative,No,3,1,3,2,Travel_Frequently,3
156,29,No,Sales,21,Other,Female,4936,Single,Manager,No,4,2,3,13,Non-Travel,2
157,32,No,Sales,27,Human Resources,Female,5509,Divorced,Sales Representative,No,3,4,2,12,Travel_Frequently,1
158,44,No,Sales,5,Human Resources,Male,8927,Divorced,Manager,Yes,3,4,3,4,Travel_Rarely,4
159,28,Yes,Sales,15,Human Resources,Male,4388,Married,Manager,Yes,3,3,4,3,Travel_Frequently,3
160,40,No,Sales,3,Marketing,Female,3049,Divorced,Sales Representative,No,3,4,1,3,Travel_Rarely,4
161,31,Yes,Sales,3,Technical Degree,Female,2554,Married,Sales Executive,No,3,3,3,3,Travel_Frequently,1
162,33,Yes,Sales,18,Other,Female,4166,Divorced,Sales Representative,Yes,4,1,4,0,Travel_Frequently,2
163,39,No,Sales,8,Human Resources,Female,7516,Single,Sales Executive,Yes,3,4,1,4,Travel_Rarely,1
164,42,No,Sales,8,Technical Degree,Male,14010,Married,Manager,No,3,2,1,8,Non-Travel,2
165,37,No,Sales,29,Medical,Female,14985,Married,Sales Executive,No,3,4,2,20,Non-Travel,4
166,29,No,Sales,21,Life Sciences,Female,12693,Married,Manager,No,4,2,3,14,Non-Travel,4
167,37,No,Sales,26,Other,Female,6012,Single,Sales Representative,No,4,3,1,8,Travel_Rarely,4
168,45,No,Sales,3,Technical Degree,Male,5196,Married,Manager,No,3,3,1,7,Travel_Frequently,3
169,47,No,Sales,28,Technical Degree,Male,3647,Single,Manager,No,4,2,3,19,Non-Travel,1
170,34,No,Sales,18,Technical Degree,Male,4922,Single,Manager,No,4,3,3,8,Non-Travel,4
171,48,No,Sales,25,Other,Male,8053,Married,Sales Representative,No,4,4,2,16,Travel_Frequently,3
172,29,No,Sales,7,Marketing,Female,6625,Single,Manager,No,4,2,2,9,Non-Travel,4
173,35,No,Sales,24,Other,Female,12021,Divorced,Sales Representative,No,4,4,4,11,Travel_Frequently,2
174,39,No,Sales,27,Human Resources,Male,5293,Single,Sales Executive,No,3,3,1,6,Non-Travel,1
175,54,No,Sales,20,Marketing,Female,6791,Single,Manager,Yes,4,2,4,1,Travel_Rarely,1
176,33,Yes,Sales,22,Human Resources,Male,2048,Divorced,Sales Representative,Yes,4,3,2,2,Travel_Frequently,1
177,44,No,Sales,12,Technical Degree,Female,6948,Single,Sales Executive,Yes,4,4,4,9,Travel_Frequently,2
178,35,No,Sales,18,Technical Degree,Female,14207,Married,Sales Representative,No,4,2,1,2,Travel_Rarely,1
179,30,No,Sales,29,Medical,Male,10109,Single,Sales Representative,No,4,3,3,19,Travel_Rarely,1
180,49,No,Sales,5,Medical,Male,11897,Divorced,Sales Representative,No,4,2,1,6,Travel_Frequently,3
181,28,Yes,Sales,3,Other,Male,3593,Divorced,Manager,No,4,3,1,2,Non-Travel,1
182,54,No,Sales,9,Life Sciences,Female,8580,Divorced,Sales Executive,No,4,4,4,20,Travel_Frequently,2
183,40,No,Sales,3,Medical,Female,6043,Divorced,Sales Representative,No,3,4,3,13,Travel_Rarely,2
184,53,No,Sales,15,Life Sciences,Male,5527,Married,Manager,No,4,3,3,12,Travel_Rarely,1
185,27,Yes,Sales,3,Marketing,Male,3838,Divorced,Sales Representative,No,4,3,4,3,Travel_Frequently,1
186,40,No,Sales,6,Other,Male,14875,Married,Sales Executive,No,3,2,3,19,Non-Travel,3
187,32,No,Sales,8,Marketing,Male,5739,Married,Sales Executive,No,4,3,2,10,Travel_Frequently,4
188,29,Yes,Sales,27,Marketing,Female,3620,Married,Sales Executive,Yes,3,3,3,3,Travel_Frequently,3
189,50,No,Sales,11,Human Resources,Female,10848,Single,Sales Executive,No,4,3,3,11,Travel_Frequently,4
190,46,No,Sales,15,Other,Female,12703,Single,Sales Executive,No,4,2,1,18,Travel_Rarely,4
191,32,No,Sales,15,Technical Degree,Female,7961,Single,Manager,No,4,4,4,5,Non-Travel,4
192,53,No,Sales,22,Life Sciences,Male,14495,Single,Sales Representative,No,4,4,2,20,Non-Travel,1
193,48,No,Sales,8,Life Sciences,Male,13596,Married,Manager,No,3,3,4,14,Travel_Rarely,3
194,52,No,Sales,14,Life Sciences,Female,12643,Married,Manager,No,3,2,1,12,Travel_Rarely,2
195,38,No,Sales,15,Other,Female,6389,Divorced,Sales Representative,No,4,3,1,16,Travel_Rarely,3
196,26,Yes,Sales,18,Human Resources,Male,3405,Single,Sales Executive,No,3,3,3,1,Non-Travel,4
197,35,No,Sales,29,Other,Male,13317,Divorced,Sales Representative,Yes,3,4,4,14,Travel_Frequently,4
198,50,No,Sales,12,Human Resources,Male,6371,Single,Sales Executive,No,4,4,2,3,Non-Travel,4
199,35,Yes,Sales,28,Marketing,Male,4161,Married,Sales Representative,No,4,2,2,4,Travel_Frequently,3
200,46,No,Sales,23,Medical,Male,14011,Married,Sales Executive,Yes,3,2,4,8,Travel_Frequently,4
201,46,No,Sales,16,Human Resources,Male,9931,Single,Sales Representative,Yes,4,4,2,18,Non-Travel,2
202,42,No,Sales,17,Technical Degree,Male,3878,Divorced,Manager,No,4,2,4,16,Travel_Rarely,4
203,54,No,Sales,8,Life Sciences,Female,11006,Married,Sales Representative,Yes,4,4,2,1,Travel_Rarely,4
204,52,No,Sales,25,Human Resources,Female,12006,Single,Sales Representative,No,4,4,2,4,Travel_Frequently,4
205,35,Yes,Sales,7,Life Sciences,Female,3219,Single,Sales Executive,No,4,1,4,3,Travel_Rarely,2
206,53,No,Sales,6,Human Resources,Female,6390,Divorced,Sales Executive,No,4,4,3,12,Non-Travel,3
207,55,No,Sales,23,Other,Female,14129,Single,Manager,No,3,2,2,14,Travel_Rarely,2
208,54,No,Sales,13,Other,Female,14079,Married,Sales Executive,No,4,2,1,19,Non-Travel,1
209,51,No,Sales,28,Human Resources,Female,14382,Single,Sales Representative,No,3,3,4,15,Travel_Frequently,3
210,53,No,Sales,11,Marketing,Female,9516,Married,Manager,Yes,3,3,4,7,Travel_Frequently,3
211,52,No,Sales,1,Technical Degree,Male,3752,Married,Sales Executive,Yes,4,3,2,1,Travel_Rarely,2
212,37,No,Sales,6,Other,Female,7489,Divorced,Sales Executive,Yes,3,3,4,9,Travel_Rarely,3
213,52,No,Sales,5,Technical Degree,Male,10032,Single,Sales Executive,No,3,4,4,4,Travel_Rarely,1
214,30,Yes,Sales,4,Other,Male,3729,Single,Sales Executive,No,4,2,3,0,Travel_Frequently,3
215,27,Yes,Sales,24,Technical Degree,Male,4773,Married,Manager,Yes,3,3,2,4,Travel_Frequently,4
216,42,No,Sales,11,Marketing,Female,4420,Married,Sales Executive,No,3,2,2,4,Non-Travel,3
217,35,No,Sales,7,Other,Male,12846,Married,Manager,No,3,4,4,10,Non-Travel,3
218,53,No,Sales,12,Human Resources,Male,11108,Single,Sales Executive,No,4,2,2,16,Non-Travel,4
219,46,No,Sales,1,Human Resources,Male,8986,Single,Sales Representative,No,4,2,2,16,Travel_Rarely,1
220,53,No,Sales,3,Other,Female,11300,Married,Sales Representative,No,3,4,3,17,Travel_Frequently,1
221,44,No,Sales,14,Marketing,Male,5545,Divorced,Sales Executive,No,3,3,1,19,Non-Travel,2
222,31,Yes,Sales,23,Life Sciences,Male,3857,Single,Sales Executive,No,3,1,1,2,Non-Travel,2
223,39,No,Sales,25,Medical,Female,11474,Divorced,Manager,No,4,4,1,9,Travel_Rarely,1
224,41,No,Sales,17,Technical Degree,Male,11582,Married,Sales Representative,Yes,4,4,1,19,Non-Travel,4
225,33,No,Sales,17,Medical,Male,5577,Divorced,Sales Representative,No,3,2,1,19,Non-Travel,1
226,43,No,Sales,8,Medical,Female,9274,Married,Sales Representative,No,4,2,3,2,Non-Travel,3
227,46,No,Sales,29,Technical Degree,Male,4956,Single,Sales Representative,No,4,2,3,6,Travel_Rarely,3
228,45,No,Sales,19,Technical Degree,Male,3130,Married,Sales Representative,No,4,3,2,19,Travel_Frequently,2
229,31,Yes,Sales,10,Other,Female,2954,Divorced,Sales Executive,No,3,3,2,0,Travel_Rarely,2
230,29,No,Sales,15,Other,Female,14659,Married,Sales Executive,No,3,2,1,8,Non-Travel,2
231,40,No,Sales,26,Marketing,Female,12697,Married,Sales Executive,No,4,3,3,5,Travel_Rarely,3
232,35,No,Sales,15,Medical,Male,6321,Married,Sales Executive,Yes,4,4,4,4,Travel_Rarely,1
233,52,No,Sales,27,Other,Male,10404,Married,Sales Executive,No,3,3,2,4,Travel_Rarely,3
234,28,Yes,Sales,18,Technical Degree,Male,3623,Married,Sales Representative,Yes,3,3,1,2,Travel_Rarely,4
235,27,Yes,Sales,21,Marketing,Female,2048,Divorced,Sales Executive,Yes,3,1,3,1,Travel_Frequently,1
236,26,Yes,Sales,2,Life Sciences,Male,4645,Married,Sales Executive,Yes,3,1,4,0,Travel_Frequently,4
237,40,No,Sales,2,Technical Degree,Female,9990,Single,Manager,Yes,3,2,3,6,Travel_Frequently,4
238,45,No,Sales,8,Other,Male,3999,Divorced,Sales Representative,Yes,3,3,4,5,Travel_Frequently,3
239,53,No,Sales,11,Medical,Female,8636,Single,Sales Representative,No,3,4,1,11,Travel_Frequently,3
240,32,Yes,Sales,27,Marketing,Male,3464,Divorced,Manager,No,3,1,2,1,Travel_Frequently,4
241,54,No,Sales,12,Other,Male,5885,Divorced,Sales Executive,No,3,3,2,12,Non-Travel,4
242,33,No,Sales,1,Human Resources,Male,3621,Married,Sales Representative,Yes,4,2,2,20,Travel_Rarely,2
243,33,No,Sales,23,Life Sciences,Female,3975,Married,Sales Representative,Yes,4,4,1,5,Travel_Rarely,3
244,32,No,Sales,18,Medical,Female,14998,Divorced,Sales Executive,No,4,4,2,16,Non-Travel,2
245,51,No,Sales,6,Human Resources,Female,7825,Single,Manager,Yes,4,4,2,1,Non-Travel,1
246,32,No,Sales,21,Other,Male,4274,Divorced,Sales Representative,No,4,3,4,6,Non-Travel,1
247,35,No,Sales,14,Technical Degree,Female,4110,Divorced,Manager,No,3,2,4,1,Travel_Rarely,4
248,39,No,Sales,3,Medical,Male,9149,Married,Manager,Yes,3,3,3,19,Non-Travel,1
249,31,No,Sales,11,Human Resources,Male,8600,Single,Sales Executive,Yes,4,3,1,6,Non-Travel,4
250,33,No,Sales,18,Technical Degree,Male,10113,Divorced,Manager,Yes,4,2,3,11,Travel_Rarely,3
251,29,No,Sales,3,Life Sciences,Female,12367,Married,Sales Representative,No,4,3,4,5,Travel_Rarely,2
252,28,Yes,Sales,29,Technical Degree,Female,4614,Married,Sales Executive,Yes,4,1,1,3,Travel_Frequently,4
253,31,Yes,Sales,5,Human Resources,Female,2764,Single,Sales Representative,Yes,3,2,1,3,Travel_Rarely,3
